function,x_dim,c_dim,method,repeat,client,t,regret
levy,1,3,fd,0,-1,0,0.2325934524827683
levy,1,3,fd,0,-1,1,0.19436428004837322
levy,1,3,fd,0,-1,2,0.16096582714285115
levy,1,3,fd,0,-1,3,0.15145452377907337
levy,1,3,fd,0,-1,4,0.20542813579692265
levy,1,3,fd,0,-1,5,0.15182330742159877
levy,1,3,fd,0,-1,6,0.15135122594123912
levy,1,3,fd,0,-1,7,0.1460001128234917
levy,1,3,fd,0,-1,8,0.14846257218397682
levy,1,3,fd,0,-1,9,0.1454285060034514
levy,1,3,fd,0,-1,10,0.14403292044695393
levy,1,3,fd,0,-1,11,0.1363241021305703
levy,1,3,fd,0,-1,12,0.13576035448010756
levy,1,3,fd,0,-1,13,0.13026231043495584
levy,1,3,fd,0,-1,14,0.12951578807338446
levy,1,3,fd,0,-1,15,0.1311272167851828
levy,1,3,fd,0,-1,16,0.18798756166393893
levy,1,3,fd,0,-1,17,0.12544903762509207
levy,1,3,fd,0,-1,18,0.12301806431706817
levy,1,3,fd,0,-1,19,0.12468587034087905
levy,1,3,fd,0,-1,20,0.12524906904185
levy,1,3,fd,0,-1,21,0.1249269042732741
levy,1,3,fd,0,-1,22,0.12381637191005357
levy,1,3,fd,0,-1,23,0.1240134787845919
levy,1,3,fd,0,-1,24,0.12279243398140326
levy,1,3,fd,0,-1,25,0.12105229838393508
levy,1,3,fd,0,-1,26,0.12032793292152522
levy,1,3,fd,0,-1,27,0.11952208388944822
levy,1,3,fd,0,-1,28,0.11870853590477858
levy,1,3,fd,0,-1,29,0.1952490898729038
levy,1,3,fd,0,-1,30,0.11504351232921918
levy,1,3,fd,0,-1,31,0.11597300092238029
levy,1,3,fd,0,-1,32,0.11655369927372673
levy,1,3,fd,0,-1,33,0.11736043220270444
levy,1,3,fd,0,-1,34,0.11687096632575063
levy,1,3,fd,0,-1,35,0.11583416365619759
levy,1,3,fd,0,-1,36,0.11620877657886304
levy,1,3,fd,0,-1,37,0.11637294847593366
levy,1,3,fd,0,-1,38,0.11759329905295057
levy,1,3,fd,0,-1,39,0.11732434225968935
levy,1,3,fd,0,-1,40,0.15932596276200411
levy,1,3,fd,0,-1,41,0.11601255317435963
levy,1,3,fd,0,-1,42,0.11565934544008188
levy,1,3,fd,0,-1,43,0.11630883080534031
levy,1,3,fd,0,-1,44,0.11493150571646378
levy,1,3,fd,0,-1,45,0.11528765697540116
levy,1,3,fd,0,-1,46,0.11495987650190226
levy,1,3,fd,0,-1,47,0.11457683653578107
levy,1,3,fd,0,-1,48,0.11492129295084053
levy,1,3,fd,0,-1,49,0.11446077740087009
levy,1,3,fd,0,-1,50,0.11585073586935496
levy,1,3,fd,0,-1,51,0.11603725860497467
levy,1,3,fd,0,-1,52,0.11476739173086106
levy,1,3,fd,0,-1,53,0.11553654566642667
levy,1,3,fd,0,-1,54,0.11468757265345814
levy,1,3,fd,0,-1,55,0.11533805973059373
levy,1,3,fd,0,-1,56,0.11229986120399753
levy,1,3,fd,0,-1,57,0.11251528503473844
levy,1,3,fd,0,-1,58,0.11050590792448262
