function,x_dim,c_dim,method,repeat,client,t,regret
ackley,2,2,fd,1,-1,22,0.02690672829837628
ackley,2,2,fd,1,-1,23,0.028912110612435298
ackley,2,2,fd,1,-1,24,0.02424084070187337
ackley,2,2,fd,1,-1,25,0.024455112465982656
ackley,2,2,fd,1,-1,26,0.0234990162339999
ackley,2,2,fd,1,-1,27,0.02387662140483643
ackley,2,2,fd,1,-1,28,0.02261592672058956
ackley,2,2,fd,1,-1,29,0.023057059980432722
ackley,2,2,fd,1,-1,30,0.042234791721216774
ackley,2,2,fd,1,-1,31,0.024860636094377192
ackley,2,2,fd,1,-1,32,0.026122184671716217
ackley,2,2,fd,1,-1,33,0.024802636904067428
ackley,2,2,fd,1,-1,34,0.02411368486709863
ackley,2,2,fd,1,-1,35,0.022977005053953344
ackley,2,2,fd,1,-1,36,0.023199544195557177
ackley,2,2,fd,1,-1,37,0.020641107534721318
ackley,2,2,fd,1,-1,38,0.019853306023178717
ackley,2,2,fd,1,-1,39,0.018745739544128934
ackley,2,2,fd,1,-1,40,0.018197142793373797
ackley,2,2,fd,1,-1,41,0.017198165635778462
ackley,2,2,fd,1,-1,42,0.013430689267165978
ackley,2,2,fd,1,-1,43,0.013761362183063721
ackley,2,2,fd,1,-1,44,0.013927321476077748
ackley,2,2,fd,1,-1,45,0.014128471755038622
ackley,2,2,fd,1,-1,46,0.014388396849918515
ackley,2,2,fd,1,-1,47,0.014442404117391042
ackley,2,2,fd,1,-1,48,0.01437539097233474
ackley,2,2,fd,1,-1,49,0.014921403558187763
ackley,2,2,fd,1,-1,50,0.019733344989934922
ackley,2,2,fd,1,-1,51,0.013585476756845818
ackley,2,2,fd,1,-1,52,0.017666138924680472
ackley,2,2,fd,1,-1,53,0.013863119059778245
ackley,2,2,fd,1,-1,54,0.012458826201538705
ackley,2,2,fd,1,-1,55,0.014090339704445705
ackley,2,2,fd,1,-1,56,0.01429774915755306
ackley,2,2,fd,1,-1,57,0.01417719333779013
ackley,2,2,fd,1,-1,58,0.01514171099915164
ackley,2,2,fd,1,-1,59,0.014960714567049768
