function,x_dim,c_dim,method,repeat,client,t,regret
levy,2,1,fd,0,-1,0,0.22832730339289944
levy,2,1,fd,0,-1,1,0.19879039824973255
levy,2,1,fd,0,-1,2,0.15904247696888443
levy,2,1,fd,0,-1,3,0.13804009787432187
levy,2,1,fd,0,-1,4,0.12618843510392472
levy,2,1,fd,0,-1,5,0.11973971446190662
levy,2,1,fd,0,-1,6,0.1488021047179118
levy,2,1,fd,0,-1,7,0.12961941776852415
levy,2,1,fd,0,-1,8,0.1222950717992206
levy,2,1,fd,0,-1,9,0.1257050987627535
levy,2,1,fd,0,-1,10,0.11815459473701206
levy,2,1,fd,0,-1,11,0.10478825422454374
levy,2,1,fd,0,-1,12,0.09838173499794303
levy,2,1,fd,0,-1,13,0.1006607941277113
levy,2,1,fd,0,-1,14,0.10691195943922904
levy,2,1,fd,0,-1,15,0.09645241501976581
levy,2,1,fd,0,-1,16,0.10178470414047333
levy,2,1,fd,0,-1,17,0.11586787717705804
levy,2,1,fd,0,-1,18,0.11816346096351328
levy,2,1,fd,0,-1,19,0.10791950272241732
levy,2,1,fd,0,-1,20,0.12448730375260712
levy,2,1,fd,0,-1,21,0.10963456213809722
levy,2,1,fd,0,-1,22,0.0960788754694002
levy,2,1,fd,0,-1,23,0.09300692527214707
levy,2,1,fd,0,-1,24,0.10768577806184002
levy,2,1,fd,0,-1,25,0.09150358908122891
levy,2,1,fd,0,-1,26,0.08036153900542711
levy,2,1,fd,0,-1,27,0.06825256320843776
levy,2,1,fd,0,-1,28,0.06420760714319049
levy,2,1,fd,0,-1,29,0.05791636970896027
levy,2,1,fd,0,-1,30,0.058359737954499814
levy,2,1,fd,0,-1,31,0.05795207704421509
levy,2,1,fd,0,-1,32,0.06187234803288254
levy,2,1,fd,0,-1,33,0.06431518541459567
levy,2,1,fd,0,-1,34,0.06375598537527143
levy,2,1,fd,0,-1,35,0.051063948718538664
levy,2,1,fd,0,-1,36,0.059139456042511446
levy,2,1,fd,0,-1,37,0.05830912015941689
levy,2,1,fd,0,-1,38,0.08804908112465797
levy,2,1,fd,0,-1,39,0.059792826265138446
levy,2,1,fd,0,-1,40,0.08845272953909307
levy,2,1,fd,0,-1,41,0.05500925999632159
levy,2,1,fd,0,-1,42,0.05523267234257445
levy,2,1,fd,0,-1,43,0.055179840590217036
levy,2,1,fd,0,-1,44,0.06305024200003873
levy,2,1,fd,0,-1,45,0.062322493210392224
levy,2,1,fd,0,-1,46,0.06540994742127587
levy,2,1,fd,0,-1,47,0.08096791582982911
levy,2,1,fd,0,-1,48,0.06479911833330398
levy,2,1,fd,0,-1,49,0.062145283210947644
levy,2,1,fd,0,-1,50,0.04234553737844145
levy,2,1,fd,0,-1,51,0.043149652442764704
levy,2,1,fd,0,-1,52,0.04880489382134108
levy,2,1,fd,0,-1,53,0.04986500229080787
levy,2,1,fd,0,-1,54,0.042884571707156365
levy,2,1,fd,0,-1,55,0.041361670573956004
levy,2,1,fd,0,-1,56,0.040374633038902596
levy,2,1,fd,0,-1,57,0.03961808529885571
levy,2,1,fd,0,-1,58,0.04327404862006773
levy,2,1,fd,0,-1,59,0.040592695072401416
levy,2,1,fd,1,-1,0,0.24539277188635106
levy,2,1,fd,1,-1,1,0.17851378379285648
levy,2,1,fd,1,-1,2,0.15674653637377184
levy,2,1,fd,1,-1,3,0.16235656607054638
levy,2,1,fd,1,-1,4,0.13906924311494362
levy,2,1,fd,1,-1,5,0.14686349718677733
levy,2,1,fd,1,-1,6,0.1068232267362462
levy,2,1,fd,1,-1,7,0.10824702810479452
levy,2,1,fd,1,-1,8,0.10977746059195488
levy,2,1,fd,1,-1,9,0.11670254839133168
levy,2,1,fd,1,-1,10,0.11884116438300543
levy,2,1,fd,1,-1,11,0.10427938116823574
levy,2,1,fd,1,-1,12,0.10636522871257219
levy,2,1,fd,1,-1,13,0.10733837778604788
levy,2,1,fd,1,-1,14,0.10342834899099734
levy,2,1,fd,1,-1,15,0.09203983813802484
levy,2,1,fd,1,-1,16,0.08765583981455122
levy,2,1,fd,1,-1,17,0.08374796762249707
levy,2,1,fd,1,-1,18,0.08665776653355546
levy,2,1,fd,1,-1,19,0.07542322164127756
levy,2,1,fd,1,-1,20,0.0662200532842072
levy,2,1,fd,1,-1,21,0.07011697253361636
levy,2,1,fd,1,-1,22,0.07132962047412597
levy,2,1,fd,1,-1,23,0.06913033209387591
levy,2,1,fd,1,-1,24,0.06965381601052675
levy,2,1,fd,1,-1,25,0.06612753177818709
levy,2,1,fd,1,-1,26,0.06910467858035252
levy,2,1,fd,1,-1,27,0.0715971771165187
levy,2,1,fd,1,-1,28,0.0514773525322676
levy,2,1,fd,1,-1,29,0.04882699432342945
levy,2,1,fd,1,-1,30,0.05077095571332956
levy,2,1,fd,1,-1,31,0.05668176797081179
levy,2,1,fd,1,-1,32,0.05127356019891141
levy,2,1,fd,1,-1,33,0.0513195995743799
levy,2,1,fd,1,-1,34,0.05113016339973838
levy,2,1,fd,1,-1,35,0.05044806109691207
levy,2,1,fd,1,-1,36,0.052224170834418576
levy,2,1,fd,1,-1,37,0.05192918351173754
levy,2,1,fd,1,-1,38,0.052206097673659774
levy,2,1,fd,1,-1,39,0.0512551920093945
levy,2,1,fd,1,-1,40,0.04852808854408175
levy,2,1,fd,1,-1,41,0.059452241988229404
levy,2,1,fd,1,-1,42,0.04847311294463971
levy,2,1,fd,1,-1,43,0.044818588750642686
levy,2,1,fd,1,-1,44,0.04472105477596438
levy,2,1,fd,1,-1,45,0.044711860401827494
levy,2,1,fd,1,-1,46,0.04690043994817698
levy,2,1,fd,1,-1,47,0.047468665230330886
levy,2,1,fd,1,-1,48,0.0442551190056728
levy,2,1,fd,1,-1,49,0.04147157751388428
levy,2,1,fd,1,-1,50,0.037492100973257586
levy,2,1,fd,1,-1,51,0.036126228564948654
levy,2,1,fd,1,-1,52,0.034947238806512744
levy,2,1,fd,1,-1,53,0.036057240000266506
levy,2,1,fd,1,-1,54,0.03571333163203615
levy,2,1,fd,1,-1,55,0.030417709335194096
levy,2,1,fd,1,-1,56,0.029788294622326326
levy,2,1,fd,1,-1,57,0.03188730120168276
