function,x_dim,c_dim,method,repeat,client,t,regret
ackley,1,2,fd,1,-1,42,0.02898875760134135
ackley,1,2,fd,1,-1,43,0.03061292818414364
ackley,1,2,fd,1,-1,44,0.03755479492127319
ackley,1,2,fd,1,-1,45,0.029115912263217105
ackley,1,2,fd,1,-1,46,0.028897786060315286
ackley,1,2,fd,1,-1,47,0.04348663369534601
ackley,1,2,fd,1,-1,48,0.028368051552849043
ackley,1,2,fd,1,-1,49,0.02798888118177325
ackley,1,2,fd,1,-1,50,0.02807525949206901
ackley,1,2,fd,1,-1,51,0.026105676237599247
ackley,1,2,fd,1,-1,52,0.023193439584680575
ackley,1,2,fd,1,-1,53,0.022828387107818073
ackley,1,2,fd,1,-1,54,0.022779069034067678
ackley,1,2,fd,1,-1,55,0.023108129812874044
ackley,1,2,fd,1,-1,56,0.024751490134004007
ackley,1,2,fd,1,-1,57,0.025753474420298888
ackley,1,2,fd,1,-1,58,0.026869087110324333
ackley,1,2,fd,1,-1,59,0.024444205601639266
ackley,1,2,fd,2,-1,0,0.06886025953612471
ackley,1,2,fd,2,-1,1,0.04890219463199613
ackley,1,2,fd,2,-1,2,0.043542184044619174
ackley,1,2,fd,2,-1,3,0.0410496155192522
ackley,1,2,fd,2,-1,4,0.08444438532870782
ackley,1,2,fd,2,-1,5,0.03853075776906424
ackley,1,2,fd,2,-1,6,0.03344017583726938
ackley,1,2,fd,2,-1,7,0.05105094533121931
ackley,1,2,fd,2,-1,8,0.03622198550463882
ackley,1,2,fd,2,-1,9,0.049430171656276535
ackley,1,2,fd,2,-1,10,0.04999174417809763
ackley,1,2,fd,2,-1,11,0.041000308225480904
ackley,1,2,fd,2,-1,12,0.024885448329984967
ackley,1,2,fd,2,-1,13,0.026525977018867216
ackley,1,2,fd,2,-1,14,0.03024089216880198
ackley,1,2,fd,2,-1,15,0.032050073588888346
ackley,1,2,fd,2,-1,16,0.02579861305699945
ackley,1,2,fd,2,-1,17,0.02946233498881534
ackley,1,2,fd,2,-1,18,0.02447827182654553
ackley,1,2,fd,2,-1,19,0.01963673511024443
ackley,1,2,fd,2,-1,20,0.019509078522514985
ackley,1,2,fd,2,-1,21,0.017905302240957967
ackley,1,2,fd,2,-1,22,0.017783377831485498
ackley,1,2,fd,2,-1,23,0.01819452078550182
ackley,1,2,fd,2,-1,24,0.02184138544443695
ackley,1,2,fd,2,-1,25,0.02494114002169692
ackley,1,2,fd,2,-1,26,0.021665249087118987
ackley,1,2,fd,2,-1,27,0.026168111380065317
ackley,1,2,fd,2,-1,28,0.027184742062567976
ackley,1,2,fd,2,-1,29,0.027969762662110327
ackley,1,2,fd,2,-1,30,0.027621652707608954
ackley,1,2,fd,2,-1,31,0.028174099766384037
ackley,1,2,fd,2,-1,32,0.02612461831389907
ackley,1,2,fd,2,-1,33,0.025605759814111912
ackley,1,2,fd,2,-1,34,0.032303271775486295
ackley,1,2,fd,2,-1,35,0.02961161681913288
ackley,1,2,fd,2,-1,36,0.03084156194996825
ackley,1,2,fd,2,-1,37,0.028948111548234595
ackley,1,2,fd,2,-1,38,0.024805278610648695
ackley,1,2,fd,2,-1,39,0.025378314472287344
ackley,1,2,fd,2,-1,40,0.025660332827379603
ackley,1,2,fd,2,-1,41,0.02471896154511336
ackley,1,2,fd,2,-1,42,0.02480362024485884
ackley,1,2,fd,2,-1,43,0.026352552247708338
ackley,1,2,fd,2,-1,44,0.024492068622323455
ackley,1,2,fd,2,-1,45,0.026661756708966394
ackley,1,2,fd,2,-1,46,0.025218291432873633
ackley,1,2,fd,2,-1,47,0.023336548421277307
ackley,1,2,fd,2,-1,48,0.024832978652815065
ackley,1,2,fd,2,-1,49,0.03386717262201455
ackley,1,2,fd,2,-1,50,0.02787474413086643
ackley,1,2,fd,2,-1,51,0.028752732400080812
ackley,1,2,fd,2,-1,52,0.024938614405254668
ackley,1,2,fd,2,-1,53,0.024734532039030237
ackley,1,2,fd,2,-1,54,0.02487079541078257
ackley,1,2,fd,2,-1,55,0.027882349300837307
ackley,1,2,fd,2,-1,56,0.025022444981479885
ackley,1,2,fd,2,-1,57,0.02819349455005439
ackley,1,2,fd,2,-1,58,0.02607411984634535
ackley,1,2,fd,2,-1,59,0.024306189934832415
ackley,1,2,fd,3,-1,0,0.10664218480888195
ackley,1,2,fd,3,-1,1,0.11061548019956852
ackley,1,2,fd,3,-1,2,0.10220234260165949
ackley,1,2,fd,3,-1,3,0.09798101336604523
ackley,1,2,fd,3,-1,4,0.09092173846618214
ackley,1,2,fd,3,-1,5,0.07246090152608145
ackley,1,2,fd,3,-1,6,0.05599874050616587
ackley,1,2,fd,3,-1,7,0.06754760094753172
ackley,1,2,fd,3,-1,8,0.059527939815450084
ackley,1,2,fd,3,-1,9,0.05179445423531059
ackley,1,2,fd,3,-1,10,0.06161082341541793
ackley,1,2,fd,3,-1,11,0.04451616961026728
ackley,1,2,fd,3,-1,12,0.05494236695274974
ackley,1,2,fd,3,-1,13,0.046971558926869945
ackley,1,2,fd,3,-1,14,0.053721504263417034
ackley,1,2,fd,3,-1,15,0.06554129737579463
ackley,1,2,fd,3,-1,16,0.05336598950472856
ackley,1,2,fd,3,-1,17,0.05268438252811482
ackley,1,2,fd,3,-1,18,0.04705738418252474
ackley,1,2,fd,3,-1,19,0.04550309362006431
ackley,1,2,fd,3,-1,20,0.035363046596784034
ackley,1,2,fd,3,-1,21,0.034435772466059084
