function,x_dim,c_dim,method,repeat,client,t,regret
ackley,2,1,fd,0,-1,0,0.06618520393543068
ackley,2,1,fd,0,-1,1,0.04934298271186621
ackley,2,1,fd,0,-1,2,0.037383889236371315
ackley,2,1,fd,0,-1,3,0.03369123369074943
ackley,2,1,fd,0,-1,4,0.03460668333541643
ackley,2,1,fd,0,-1,5,0.03653048155837346
ackley,2,1,fd,0,-1,6,0.032025053324923364
ackley,2,1,fd,0,-1,7,0.03105248110013522
ackley,2,1,fd,0,-1,8,0.030547922289484122
ackley,2,1,fd,0,-1,9,0.03370671167942064
ackley,2,1,fd,0,-1,10,0.0298795972045875
ackley,2,1,fd,0,-1,11,0.03830922801539865
ackley,2,1,fd,0,-1,12,0.035976822568164285
ackley,2,1,fd,0,-1,13,0.031310662842760184
ackley,2,1,fd,0,-1,14,0.032079286239600345
ackley,2,1,fd,0,-1,15,0.03461107511545086
ackley,2,1,fd,0,-1,16,0.02938837352987595
ackley,2,1,fd,0,-1,17,0.027832636349876382
ackley,2,1,fd,0,-1,18,0.03131586184600199
ackley,2,1,fd,0,-1,19,0.022972728865811545
ackley,2,1,fd,0,-1,20,0.020791109464628005
ackley,2,1,fd,0,-1,21,0.019482210538966902
ackley,2,1,fd,0,-1,22,0.02031249412394334
ackley,2,1,fd,0,-1,23,0.0189871563587537
ackley,2,1,fd,0,-1,24,0.02119671284286375
ackley,2,1,fd,0,-1,25,0.01765518573079143
ackley,2,1,fd,0,-1,26,0.01907906081603134
ackley,2,1,fd,0,-1,27,0.02548115248152703
ackley,2,1,fd,0,-1,28,0.027114231235002628
ackley,2,1,fd,0,-1,29,0.021407342679026914
ackley,2,1,fd,0,-1,30,0.020983080028596033
ackley,2,1,fd,0,-1,31,0.01729759941803536
ackley,2,1,fd,0,-1,32,0.026661034634164693
ackley,2,1,fd,0,-1,33,0.03129576746627972
ackley,2,1,fd,0,-1,34,0.023726522105922934
ackley,2,1,fd,0,-1,35,0.02379846627861925
ackley,2,1,fd,0,-1,36,0.01996062537070653
ackley,2,1,fd,0,-1,37,0.01920138278160066
ackley,2,1,fd,0,-1,38,0.045101287353214066
